Test Name,Token Count,Duration (ms),Avg Latency (ms),Max Latency (ms),Tokens/sec,Memory (MB)
streaming-100-tokens,100,0.00,25.77,33.64,100000.00,50.00
streaming-500-tokens,500,0.00,26.33,37.47,500000.00,50.00
streaming-1000-tokens,1000,0.00,26.22,35.90,1000000.00,50.00
concurrent-streaming,100,2671.57,N/A,N/A,74.86,50.00
