Batch Size,Duration (ms),Avg Time/Doc (ms),Throughput (docs/sec),Memory (MB)
100,0.00,0.65,1540.14,50.00
500,0.00,0.77,1297.56,50.00
1000,0.00,0.79,1260.49,50.00
